Saariaho,492
Battmann,490
Gurudev,480
Polisseno Fegejo,480
Eller,480
Nyman,474
Henry VIII,468
Holliger,468
Hoffmann,465
Baptistin,464
Caplet,462
Dowland,458
Halévy,456
Brassens,456
Aiuola,450
G,450
Frescobaldi,450
Jommelli,450
Peirol d'Auvèrnha,450
Martino,448
Gatti,444
Dufourt,444
Pesson,444
Manoury,444
Lecocq,440
Neukomm,440
Walliserus,440
Murail,438
Lalo,438
Escobar,435
Zemlinsky,432
Pleyel,428
Marais,426
Brunello,425
Rodgers,420
Tan,420
Chan,420
Stölzel,420
Mc Cartney,420
Göthe,410
Tôn Thất Tiết,408
Varèse,408
Kreisler,404
Grétry,402
Giovanni da Cascia,400
Vecchi,400
Japarte,400
Hurel,396
Aboulker,396
Norgard,396
Chostakovitch,396
Cras,390
Birtwistle,390
Lévinas,390
Dylan,390
Johnson,390
Almaviva,384
Karajev,384
Kastalʹsky,384
Scelsi,384
Dufau,378
Lechner,378
Bucko,378
Bachmann,377
Bergen,375
Akio Yashiro,375
Beffa,372
Penderecki,372
Romano,366
Reinkein,364
M.,363
Mc Mallama,360
Davies,360
Goldman,360
Degiardino,360
Danglebert,360
Devienne,360
Widor,360
Ford,360
Colin de Blamont,357
Corrette,356
Vasks,354
Chip,351
Kalinnikow,351
Montvel,350
Amy,348
Blondel de Nesle,348
Silvestrov,342
Harvey,342
Huber,342
Maderna,342
Ginastera,342
Kurtág,340
Farinel,340
Mouton,336
Langgard,336
Pfitzner,336
Fils,336
Utendal,333
Piccini,333
Rosenmueller,328
Gabrieli,326
Lachenmann,324
Gerhard,324
Mâche,324
Teresa,324
Fuzelier,324
Falla,321
Stepan,320
Naulais,320
Borde,320
Bonporti,320
Carissimi,320
Tippett,318
Hummel,318
Daniel-Lesur,318
Van Parys,316
Moulinié,315
Chowdhury,315
Hotteterre,312
Grisey,312
Porpora,312
Biber,312
Casals,312
Renaud de Vilbac,312
Wiéner,312
Czerny,310
Obrecht,308
Guillaume,306
Leroux,306
Torroba,304
Cohen,304
Carlo del Violino,300
Dessau,300
Croce,300
Reinhardt,300
Čajkovskij,300
Kern,296
Ferneyhough,294
Indy,292
Nancarrow,292
Albinoni,291
Rossi,291
Le Bègue,288
Mosolov,288
Batchelar,288
Lalanne,288
P,288
Hollaender,288
Andreas,288
Casella,288
Rautavaara,288
Ben Haim,288
Li Bai,288
Dalbavie,288
Bruch,288
Cara,288
M. D. C.,288
Avaux,280
Phalèse,280
Noël-Gallon,279
Arthur H,279
Fedele,276
Louvier,276
Paisiello,276
Schenk,273
Brower,272
Francoeur,272
Tavener,272
Widmann,270
Thomas,270
Hendrix,270
Kálmán,270
Nuñes,270
Hofhaymer,270
Humperdinck,270
Jobim,270
San Bellino,264
Ysaÿe,264
Benjamin,264
Pintscher,264
Cavanna,264
Locatelli,264
Delius,264
Bado,264
Kreutzer,264
Gace Brulé,260
Magnus,260
Hunt,260
Arluk,260
Behr,258
Aznavour,256
Franchinus,256
Hahn,256
Bull,256
Lorenzo da Firenze,252
Flotow,252
Messager,252
Carolan,252
Dukas,252
Boulanger,252
Barbieri,252
Hildegarde,252
Isaac,252
Madame,250
Gautier de Coincy,250
Méhul,248
Howells,248
Rossi,248
Schmelzer,246
Turina,246
Audefroi le Bâtard,245
Bassani,244
Glièr,243
Forqueray le fils,240
Dimmler,240
B.,240
Urbain,240
Schoeller,240
Capuzzi,240
Willaert,240
Théodorakis,240
Roslavec,240
Champein,238
Matalon,234
Galán,234
Camenae monasterii Sancti Georgii Herciniae Silvae,234
Riley,234
Adès,234
Cererols,234
Rolland,234
Mascagni,234
Pérez,228
Lühl-Dolgorukiy,228
Prokofʹev,226
A. Z.,225
Fulbert of Chartres,225
Claudel,224
Prokofiev,224
Sheppard,222
Falconiero,222
Crumb,222
Dohnányi,222
Soler,221
Lawes,220
Haas,216
L.,216
Schreker,216
Tartini,216
Stradella,214
Françaix,212
André,210
Wyschnegradsky,210
Dallapiccola,210
Moretti,208
Bertran von Born,208
Ciaia,208
Kraus,204
Mondonville,204
Tomaschek,204
Duruflé,204
Philidor,200
Gautier d'Épinal,200
Conon de Béthune,200
Fibich,200
Guglielmo of Pesaro,200
Quelqu'un qui n'est ni d'un coin ni de l'autre,200
Hemsi,198
Scriabine,198
Van den Hove,198
Gasparini,194
Haendel,194
Alain,194
Rossini,194
Zorn,192
Guebirtig,192
Milchevsky,192
Monnet,192
Legrand,192
M. de,192
Jadin,192
Vilarrubí,192
Gallot,192
Boesmans,192
Sondheim,192
Luz,189
Bernart von Ventadorn,189
Kurtág,188
Auric,188
Globokar,186
Gurney,186
Mozart,186
Févin,184
Zarlinus,184
Monnot,184
Guglielmi,183
Bonis,182
Swea Pea,180
Catel,180
Koko,180
Wem,180
Duval,180
Trenet,180
Orff,180
Reverdy,180
Jaquemin de Senleches,180
Cerha,180
A.,180
Chávez y Ramirez,180
Pécou,176
Portugal,176
Balanchine,176
Courcelle,176
Philidor,176
P,176
Tabaret,176
Haton,175
Lanner,174
Daugherty,172
Leonardi,171
Rebel,168
Ernst,168
Heine,168
Górecki,168
Tomasi,168
Guyot,168
Langlais,165
Walter,165
Pierné,164
Blow,162
Schnebel,162
Lermontoff,162
Rheinberger,162
Skrâbin,162
Durieux,162
Ullmann,162
Rheinberger,162
Salonen,162
Montgeroult,162
Mc Millan,160
Sabatini,160
Yun,160
Angelis,160
Cabeçon,160
Cigogne,160
Fawzi,160
Boucourechliev,156
Karg,156
Kralik,156
Bach,156
Lennon,156
Veracini,156
Tomkins,156
Hofmannstahl,156
Ricci,154
Delibes,154
Gabrieli,154
Attaingnant,153
Hermann von Salzburg,153
Fenelon,152
Brossard,152
Caix d'Hervelois,152
Andriessen,152
Laws,152
Rosenthal,152
Khalife,150
Reimann,150
Aimeric de Peguilhan,150
Hartmann,150
Fago,150
Fersen,150
Croisez,149
Jacomelli,148
Giroust,147
Sweelinck,147
Le Jeune,146
Wigbert,144
Halffter,144
Baltazirini di Belgioioso,144
Adams,144
Warren,144
Neusidler,144
V,144
Berger,144
Rey,144
Perti,144
Barkhoudaryan,144
Onslow,144
Uc de Saint-Sixt,144
Soler,144
Francesconi,144
Robin,144
Farmian de Rosoi,144
Julio da Modena,144
Schoeck,141
La Barre,140
Du Bousset,140
Salieri,140
Godowsky,140
Halévy,140
Lehár,140
Vallet,140
Mondonville,140
Goldmark,138
Greif,138
Blancafort,138
Conforto,138
Sinding,138
Girard,138
Arban,137
Balbastre,136
Lvoff,135
Luython,135
Ramirez,135
Leclerc,135
Saboly,135
Suk,135
Giovannino del violoncello,135
Čerepnin,135
Lur'e,135
Fux,134
Chavagnat,134
Castérède,134
Hosokawa,132
Stamitz,132
Jadin fils,132
Gervasoni,132
Martin,132
